# Constructed from biom file,,
#OTU ID,Taxon,V15L
468387,Anaerococcus; s,0
939571,Anaerococcus; s,0
4302355,Atopobium; s,0
413199,Bacillus; s,0
4474995,Bifidobacterium; s,0
826831,Burkholderia; s,0
4430155,Cellulosimicrobium; s,0
73000,Clostridium; s,0
4095035,Clostridium; s,0
317249,Clostridium; s,0
177504,Coprobacillus; s,0
4305822,Corynebacterium; s,0
978568,Corynebacterium; s,0
4310621,Corynebacterium; s,0
920904,Corynebacterium; s,0
211156,Corynebacterium; s,0
987144,Corynebacterium; s,0
4422718,Corynebacterium; s,0
2920135,Devosia; s,0
949136,Enhydrobacter; s,0
4476363,Enhydrobacter; s,0
864940,Enhydrobacter; s,0
238663,Enterobacter; s,0
3848889,Enterobacter; s,0
2529280,Enterobacter; s,0
2016097,Enterobacter; s,0
239199,Enterobacter; s,0
4473417,Enterobacter; s,0
1112688,Enterobacter; s,0
738647,Enterobacter; s,0
809283,Enterobacter; s,0
4418165,Enterobacter; s,0
4430570,Enterobacter; s,0
312551,Enterobacter; s,0
4453611,Enterobacter; s,0
1109671,Enterobacter; s,0
108298,Enterobacter; s,0
4414015,Enterobacter; s,0
3742417,Enterobacter; s,0
2529285,Enterobacter; s,0
806688,Enterobacter; s,0
917969,Enterobacter; s,0
4458922,Enterococcus; s,0
295146,Enterococcus; s,0
4434456,Enterococcus; s,0
689204,Enterococcus; s,0
4410960,Enterococcus; s,0
839152,Enterococcus; s,0
2529162,Enterococcus; s,0
75810,Enterococcus; s,0
509516,Enterococcus; s,0
4356645,Enterococcus; s,0
4411190,Enterococcus; s,0
4465153,Enterococcus; s,0
1137014,Enterococcus; s,0
2288451,Erwinia; s,0
176418,Erwinia; s,0
4365171,Erwinia; s,0
143513,Erwinia; s,0
341740,Erwinia; s,0
1010491,Erwinia; s,0
922761,Erwinia; s,0
819219,Erwinia; s,0
3748191,Erwinia; s,0
236091,Erwinia; s,0
821991,Erwinia; s,0
429887,Escherichia; s,0
736792,Escherichia; s,0
4454062,Escherichia; s,0
640524,Escherichia; s,0
1096610,Finegoldia; s,0
609001,Gardnerella; s,0
271159,Granulicatella; s,0
777667,Granulicatella; s,0
4312340,Haemophilus; s,0
4312797,Haemophilus; s,0
4309340,Haemophilus; s,0
4461718,Halomonas; s,0
262170,Halomonas; s,0
4355340,Janthinobacterium; s,0
4401078,Janthinobacterium; s,0
792427,Klebsiella; s,0
2529276,Klebsiella; s,0
2529277,Klebsiella; s,0
2529283,Klebsiella; s,0
316281,Klebsiella; s,0
566134,Klebsiella; s,0
555915,Klebsiella; s,0
4407468,Klebsiella; s,0
4473834,Klebsiella; s,0
4483809,Klebsiella; s,0
4294723,Klebsiella; s,0
3988508,Klebsiella; s,0
3015663,Klebsiella; s,0
2716047,Klebsiella; s,0
1626578,Klebsiella; s,0
4398672,Klebsiella; s,0
4374146,Klebsiella; s,0
113558,Klebsiella; s,0
44635,Klebsiella; s,0
300365,Klebsiella; s,0
4478105,Klebsiella; s,0
525542,Klebsiella; s,0
534128,Klebsiella; s,0
273616,Klebsiella; s,0
123487,Klebsiella; s,0
4361527,Klebsiella; s,0
154803,Klebsiella; s,0
349243,Klebsiella; s,0
484444,Lactobacillus; s,0
312127,Lactobacillus; s,0
137580,Lactobacillus; s,0
322723,Lactobacillus; s,0
456393,Lactobacillus; s,0
137315,Lactobacillus; s,0
3826599,Lactobacillus; s,0
322250,Lactobacillus; s,0
319144,Lactobacillus; s,0
327852,Lactobacillus; s,0
128247,Lactobacillus; s,0
262701,Lactobacillus; s,0
353746,Lactobacillus; s,0
329660,Lactobacillus; s,0
2116286,Leclercia; s,0
220865,Methylobacterium; s,0
811623,Methylobacterium; s,0
274824,Methylobacterium; s,0
4330772,Methylobacterium; s,0
2660469,Methylobacterium; s,0
100869,Methylobacterium; s,0
4323871,Methylobacterium; s,0
1117760,Methylobacterium; s,0
278680,Methylobacterium; s,0
4443050,Methylobacterium; s,0
4385309,Micrococcus; s,0
59474,Nesterenkonia; s,0
2927689,Oenothera; s,0
2111577,Pantoea; s,0
4429718,Pantoea; s,0
4260083,Pleomorphomonas; s,0
4465405,Porphyromonas; s,0
979802,Propionibacterium; s,0
1051681,Propionibacterium; s,0
362140,Propionibacterium; s,0
2554770,Pseudomonas; s,0
286623,Pseudomonas; s,0
4324934,Pseudomonas; s,0
1134318,Pseudomonas; s,0
4297585,Pseudomonas; s,0
4393812,Pseudomonas; s,0
635665,Pseudomonas; s,0
1566691,Pseudomonas; s,0
2773870,Pseudomonas; s,0
4297096,Ralstonia; s,0
1108904,Ralstonia; s,0
561522,Ralstonia; s,0
4399824,Raoultella; s,0
626127,Raoultella; s,0
4330327,Rothia; s,0
904199,Rothia; s,0
248512,Salmonella; s,0
4384058,Salmonella; s,0
323252,Sediminibacterium; s,0
222043,Serratia; s,0
296868,Serratia; s,0
273603,Serratia; s,0
811733,Serratia; s,0
24848,Serratia; s,0
623486,Serratia; s,0
65398,Serratia; s,0
272941,Serratia; s,0
524245,Serratia; s,0
1780081,Shigella; s,0
4349524,Shigella; s,0
3577073,Sphingomonas; s,0
814254,Sphingomonas; s,0
4320250,Staphylococcus; s,0
4436370,Staphylococcus; s,0
963964,Staphylococcus; s,0
427545,Staphylococcus; s,0
360940,Staphylococcus; s,0
112576,Staphylococcus; s,0
362084,Staphylococcus; s,0
356733,Staphylococcus; s,0
4484047,Streptococcus; s,0
4317939,Streptococcus; s,0
3122374,Streptococcus; s,0
1087686,Streptococcus; s,0
986542,Streptococcus; s,0
4452867,Streptococcus; s,0
1004369,Streptococcus; s,0
302201,Streptococcus; s,0
959582,Streptococcus; s,0
4439603,Streptococcus; s,0
935146,Streptococcus; s,0
974431,Streptococcus; s,0
4436165,Streptococcus; s,0
2458919,Streptococcus; s,0
931950,Streptococcus; s,0
4326311,Streptococcus; s,0
3444723,Streptococcus; s,0
